Date,Amount
20170109,3.63
20161012,1.08
20160614,1.13
20160614,2.43
20160108,1.95
20151012,0.93
20150616,1.56
20150616,1.64
20141011,0.88
20140617,0.67
20130424,0.62
20120410,0.6
20110815,1.4
20110417,1.2
20100825,0.62
20100416,0.22
20080801,2
20080418,1.5
20070825,1.5
20070416,1.5
20060815,1.5
20060418,2
20050823,1
20050404,0.8
20041015,1
20040507,0.6045
20030512,312.5
