Date,Amount
20160708,5.92
20150703,4.05
20140714,4.85
20130430,4.1
20120428,4.7
20110510,0.4344
20100921,1.67
20100507,2.1
20090414,2.91
20080422,3.88
20070427,2.96
20060505,3.72
20050506,2.97
20040511,3.25
20030615,1.27
20020414,0.9195
20010509,0.4243
