Date,Amount
20161011,0.72
20160607,0.31
20151009,0.58
20141223,0.58
20121123,0.28
20110404,0.33
20100402,0.37
20100402,0.37
20080721,0.382
20080307,0.502
20070716,0.418
20070212,0.891
20061013,0.91
20060714,0.815
20060714,0.815
20060407,0.593
20060407,0.532
20051014,0.667
