Date,Amount
20140708,2.5
20130506,1.16
20120510,1.81
20110511,1.09
20100504,0.3497
20090505,0.1818
20080505,1.37
20070507,1.29
20060429,0.82
20050430,0.7
20040419,0.43
20030307,0.29
20020405,0.06
20010320,0.03
