Date,Amount
20161223,126,12
20160617,42,30
20160108,179.77
20151009,88.4
20150619,132.57
20141230,152.07
20141010,78.3
20140613,89.15
20130809,46.06
20130405,55.02
20120727,21.15
20120413,5.18
20120413,18.26
20110506,6.57
20110506,4.67
20100507,10.06
20090508,4.76
20090508,1.46
