Date,Amount
20161228,444.25
20160621,230.14
20151230,321.95
20150925,305.07
20150525,670.04
20141222,762.34
20140617,248.48
20131101,220.7
20130430,400.83
20120524,196
20110516,180
20100521,210
20080526,112
20071113,108
20070515,120
20061005,56
20060515,53.5
20051111,43
20050512,28
20041008,41.4
20031115,42.1
20030514,21.7
20020516,23
