Date,Amount
20160920,155
20160614,180
20150602,139
20140609,152
20130411,64
20121112,46
20110901,129
20110408,40
20100409,25
20080812,40
20080512,40
20080414,40
20071102,12
20070816,13
20070410,13
20060801,11
20060414,11
20051108,6.88
20050805,10.66
20050418,9.98
20040412,0.6951
