Date,Amount
20140716,2.36
20130514,1.48
20120514,2.15
20110513,1.18
20100514,1.0488
20090515,1.326
20080314,0.82
20070317,0.71
20060320,1.05
20050325,0.607
20040202,0.16
20030131,0.096
20020212,0.1
20010316,0.18
