Date,Amount
19980420,0.22
19990514,0.25
20000424,3
20010514,8
20020508,15
20030512,19.5
20040507,24
20050512,28
20060511,33
20070511,38
20080508,42
20090508,50
20100507,52
20110506,59
20120511,75
20121112,40
20130513,50
20130815,50
20140715,60
20141226,60
20150714,94
20151224,65
20160712,112
